"","W06000001","W06000002","W06000003","W06000004","W06000005","W06000006","W06000008","W06000009","W06000010","W06000011","W06000012","W06000013","W06000014","W06000015","W06000016","W06000018","W06000019","W06000020","W06000021","W06000022","W06000023","W06000024"
"W06000001",56,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000002",1,139,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000003",0,0,31,7,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000004",0,0,10,87,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000006",0,0,0,0,7,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000008",0,0,0,0,0,0,192,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0
"W06000009",0,0,0,0,0,0,0,82,10,2,0,0,0,0,0,0,0,0,0,0,0,0
"W06000010",0,0,0,0,0,0,11,0,112,7,11,0,0,0,0,0,0,0,0,0,0,0
"W06000011",0,0,0,0,0,0,0,0,3,409,4,0,0,0,0,0,0,0,0,0,0,0
"W06000012",0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0
"W06000013",0,0,0,0,0,0,0,0,0,0,0,97,2,1,0,0,0,0,0,0,0,0
"W06000014",0,0,0,0,0,0,0,0,0,0,0,8,113,4,0,0,0,0,0,0,0,0
"W06000015",0,0,0,0,0,0,0,0,0,0,0,0,0,658,14,0,0,0,5,1,0,0
"W06000016",0,5,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,2,1
"W06000018",0,0,0,0,0,0,0,0,12,0,0,0,5,6,1,70,0,0,0,0,0,0
"W06000019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"W06000020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000021",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,56,4,0,0
"W06000022",0,0,0,0,0,0,0,0,0,2,0,0,1,6,0,2,0,0,0,35,0,0
"W06000023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
"W06000024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
